refPeriodId,refYear,flowDesc,partnerDesc,primaryValue
20220101,2022,Export,USA,74674478455
20220101,2022,Export,USA,38151.952
20220101,2022,Export,USA,55932484.22
20220101,2022,Export,USA,2524930127
20220101,2022,Import,USA,6907128535
20220101,2022,Export,USA,1170878400
20220101,2022,Import,USA,2558473146
20220101,2022,Export,USA,348629272.7
20220101,2022,Import,USA,4220760725
20220101,2022,Export,USA,822237746.7
20220101,2022,Import,USA,127894664.2
20220101,2022,Export,USA,11380.297
20220101,2022,Import,USA,5900657238
20220101,2022,Export,USA,24130987675
20220101,2022,Import,USA,3858760662
20220101,2022,Export,USA,5941684041
20220101,2022,Import,USA,1983750958
20220101,2022,Export,USA,18183554906
20220101,2022,Import,USA,44508382.96
20220101,2022,Import,USA,1500.594
20220101,2022,Export,USA,23576.706
20220101,2022,Import,USA,13635734
20220101,2022,Export,USA,5725150.556
20220101,2022,Import,USA,7069644986
20220101,2022,Export,USA,6805561767
20220101,2022,Import,USA,129677580.9
20220101,2022,Export,USA,1170906397
20220101,2022,Import,USA,6937539020
20220101,2022,Export,USA,5633233082
20220101,2022,Import,USA,2416036.851
20220101,2022,Import,USA,12348.048
20220101,2022,Export,USA,53324.277
20220101,2022,Export,USA,1368963.219
20220101,2022,Import,USA,1380330232
20220101,2022,Export,USA,1560495163
20220101,2022,Import,USA,1380330232
20220101,2022,Export,USA,1560495163
20230101,2023,Import,USA,1.00957E+11
20230101,2023,Export,USA,1.71651E+11
20230101,2023,Import,USA,34198853582
20230101,2023,Export,USA,62049039892
20230101,2023,Import,USA,36647476949
20230101,2023,Export,USA,1.04716E+11
20230101,2023,Import,USA,2214770502
20230101,2023,Import,USA,456886501.3
20230101,2023,Import,USA,20659870083
20230101,2023,Import,USA,2720504294
20230101,2023,Import,USA,377181146.1
20230101,2023,Export,USA,90385362.15
20230101,2023,Import,USA,2205465186
20230101,2023,Export,USA,3637278909
20230101,2023,Import,USA,1476207914
20230101,2023,Export,USA,1159112485
20230101,2023,Import,USA,92475179856
20230101,2023,Import,USA,31185328232
20230101,2023,Import,USA,32734429543
20230101,2023,Import,USA,2214770502
20230101,2023,Import,USA,456886501.3
20230101,2023,Import,USA,20580614452
20230101,2023,Import,USA,2720504294
20230101,2023,Import,USA,377181146.1
20230101,2023,Import,USA,2205465186
20230101,2023,Export,USA,1.69446E+11
20230101,2023,Export,USA,61636672080
20230101,2023,Export,USA,1.04085E+11
20230101,2023,Export,USA,87951330.25
20230101,2023,Export,USA,3637278909
20230101,2023,Import,USA,7005828386
20230101,2023,Export,USA,1045908487
20230101,2023,Import,USA,3013525350
20230101,2023,Export,USA,412367812.2
20230101,2023,Import,USA,3913047406
20230101,2023,Export,USA,631106642.9
20230101,2023,Import,USA,79255630.69
20230101,2023,Export,USA,2434031.897
20230101,2023,Import,USA,1476207914
20230101,2023,Export,USA,1159112485
20230101,2023,Import,USA,1476207914
20230101,2023,Export,USA,1159112485
